source_url,link_url,final_url,status_code,ok,is_internal,error
https://ziontechgroup.com,https://ziontechgroup.com/services,https://ziontechgroup.com/services,404,False,True,HTTPError: Not Found
https://ziontechgroup.com,https://ziontechgroup.com/products,https://ziontechgroup.com/products,404,False,True,HTTPError: Not Found
https://ziontechgroup.com,https://ziontechgroup.com/automation,https://ziontechgroup.com/automation,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/contact,https://ziontechgroup.com/contact,404,False,True,HTTPError: Not Found
https://ziontechgroup.com,https://ziontechgroup.com/automation,https://ziontechgroup.com/automation,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/site-health,https://ziontechgroup.com/site-health,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/main/front,https://ziontechgroup.com/main/front,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/automation,https://ziontechgroup.com/automation,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/front-enhancer,https://ziontechgroup.com/.netlify/functions/front-enhancer,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/frontpage-enhancer,https://ziontechgroup.com/.netlify/functions/frontpage-enhancer,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/link-and-health-scheduler,https://ziontechgroup.com/.netlify/functions/link-and-health-scheduler,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/marketing-and-features-promo,https://ziontechgroup.com/.netlify/functions/marketing-and-features-promo,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/front-enhancer,https://ziontechgroup.com/.netlify/functions/front-enhancer,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/homepage_advertiser,https://ziontechgroup.com/.netlify/functions/homepage_advertiser,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/cloud_orchestrator,https://ziontechgroup.com/.netlify/functions/cloud_orchestrator,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/fast-orchestrator,https://ziontechgroup.com/.netlify/functions/fast-orchestrator,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/continuous-orchestrator,https://ziontechgroup.com/.netlify/functions/continuous-orchestrator,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/front-maximizer,https://ziontechgroup.com/.netlify/functions/front-maximizer,207,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/continuous-front-runner,https://ziontechgroup.com/.netlify/functions/continuous-front-runner,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/readme-advertiser,https://ziontechgroup.com/.netlify/functions/readme-advertiser,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/features-capabilities-benefits-advertiser,https://ziontechgroup.com/.netlify/functions/features-capabilities-benefits-advertiser,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/hyper-front-index-accelerator,https://ziontechgroup.com/.netlify/functions/hyper-front-index-accelerator,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/dead-code-report,https://ziontechgroup.com/.netlify/functions/dead-code-report,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/security-audit-runner,https://ziontechgroup.com/.netlify/functions/security-audit-runner,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/docs-index-runner,https://ziontechgroup.com/.netlify/functions/docs-index-runner,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/repo-knowledge-graph-runner,https://ziontechgroup.com/.netlify/functions/repo-knowledge-graph-runner,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/image-optimizer-runner,https://ziontechgroup.com/.netlify/functions/image-optimizer-runner,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/ai-changelog-runner,https://ziontechgroup.com/.netlify/functions/ai-changelog-runner,200,True,True,
https://ziontechgroup.com,https://ziontechgroup.com/.netlify/functions/newsroom-runner,https://ziontechgroup.com/.netlify/functions/newsroom-runner,200,True,True,
